disease_id,disease_name,context_summary,domain,symptoms,urgency_classification,urgency_justification,recommended_tests,prevalence,link
352,hypokalemia,N/A,Endocrinology,"heartburn, problems during pregnancy, headache, pain during pregnancy, spotting or bleeding during pregnancy ",mild,Needs timely medical management,N/A,"0.857, 0.607, 0.571, 0.553, 0.553",N/A
353,hyponatremia,Hyponatremia is when your blood sodium (salt) level is lower than it should be. Healthcare providers consider sodium (Na+) levels below 135 milliequivalents/liter (mEq/L) to be lower than normal.,Endocrinology,"shortness of breath, back pain, sharp chest pain, vomiting, weakness",mild,Needs timely medical management,"How is hyponatremia diagnosed? Healthcare providers use blood tests and urine (pee) tests to diagnose hyponatremia. They’ll check the levels of sodium, potassium, hormones and other substances in your body. They’ll also check how well your kidneys and liver are working. Depending on your symptoms, your provider might get imaging, like a CT scan or chest X-ray . ","0.692, 0.668, 0.656, 0.547, 0.545",https://my.clevelandclinic.org/health/diseases/17762-hyponatremia
354,hypothermia,"Hypothermia, or low body temperature, is a condition that occurs when your body’s temperature drops below 95 degrees Fahrenheit (35 degrees Celsius). The average normal body temperature is 98.6 F (37 C). Hypothermia is a medical emergency.",Endocrinology,"fainting, emotional symptoms, depressive or psychotic symptoms, weakness",high,Can rapidly destabilize organ function,"How is hypothermia diagnosed? Healthcare providers diagnose hypothermia by taking your temperature and checking your symptoms. Based on your symptoms and how low your body temperature is below 95 F (35 C), they’ll diagnose you with mild, moderate or severe hypothermia.","1.000, 0.846, 0.692, 0.615",https://my.clevelandclinic.org/health/diseases/21164-hypothermia-low-body-temperature
355,hypothyroidism,"Hypothyroidism (underactive thyroid disease) is a condition that happens when your thyroid gland doesn’t make or release enough hormone into your bloodstream. As a result, your metabolism slows down. This can cause unintentional weight gain and make you feel exhausted all the time.",Endocrinology,"wrist swelling, hot flashes, fatigue, weight gain, too little hair",low,Usually managed with routine outpatient care,"How is hypothyroidism diagnosed? A provider will press gently around your thyroid during a physical examination to see if your gland feels swollen. They’ll also ask about your symptoms and review your medical history in detail. Healthcare providers usually run thyroid tests to get an accurate hypothyroidism diagnosis. This is because an underactive thyroid can cause symptoms that mimic other, unrelated health conditions. Thyroid blood tests measure the level of thyroid-stimulating hormone (TSH) in your blood as well as the levels for each thyroid hormone (T3 and T4). Advertisement You might also need imaging tests of your thyroid, which could include: Ultrasound . CT (computed tomography) scan . Thyroid uptake scan (a type of nuclear medicine imaging ).","0.878, 0.716, 0.581, 0.567, 0.540",https://my.clevelandclinic.org/health/diseases/12120-hypothyroidism
356,hypovolemia,"Hypovolemia occurs when you don’t have enough fluid (blood) volume circulating in your body. A low volume of fluid could include water, blood (plasma) in your circulatory system and/or lymphatic fluid. Lymphatic fluid is a liquid substance full of white blood cells that helps remove toxins and waste from your body.",Endocrinology,"fainting, dizziness, diarrhea, vomiting, feeling ill",high,Can rapidly destabilize organ function,"How is hypovolemia diagnosed? After taking your medical history, your healthcare provider will give a physical exam and offer diagnostic laboratory tests to check your fluid and sodium levels. Low sodium in your body can be a sign of hypovolemia. After tests and a hypovolemia diagnosis, your provider will pinpoint the source of your loss of fluid, which will lead to immediate treatment. What tests diagnose hypovolemia? Your provider may offer several tests to confirm a diagnosis including: Skin and mucous membranes: During a physical exam, your provider will examine your skin and the mucous membranes in your mouth, tongue and nose for dryness, which is a sign of the condition. Pulse, body temperature and blood pressure: Your provider will test your vitals while you’re sitting and while you’re standing to monitor changes. During this process when you change your posture, your provider will examine your symptoms, especially if you get dizzy when you’re upright, which is a sign of hypovolemia. Blood or urine tests to measure kidney function . Imaging tests like an ultrasound or echocardiogram .","0.759, 0.686, 0.561, 0.542, 0.525",https://my.clevelandclinic.org/health/diseases/22963-hypovolemia
357,idiopathic absence of menstruation,N/A,Endocrinology,"vaginal itching, sharp abdominal pain, lower abdominal pain, absence of menustration, pelvic pain",low,Usually managed with routine outpatient care,N/A,"0.701, 0.699, 0.677, 0.527, 0.523",N/A
358,idiopathic excessive menstruation,N/A,Endocrinology,"sharp abdominal pain, cramps and spasms, frequent menstruation, unpredictable menstruation, painful menstruation ",low,Usually managed with routine outpatient care,N/A,"0.657, 0.537, 0.535, 0.527, 0.527",N/A
359,idiopathic infrequent menstruation,N/A,Endocrinology,"sharp abdominal pain, nausea, retention of urine, unpredictable menstruation",low,Usually managed with routine outpatient care,N/A,"0.96, 0.88, 0.74, 0.46",N/A
360,idiopathic irregular menstrual cycle,N/A,Endocrinology,"cramps and spasms, heavy menstrual flow, unpredictable menstruation, long menstrual periods, pelvic pain",low,Usually managed with routine outpatient care,N/A,"0.672, 0.515, 0.515, 0.513, 0.506",N/A
361,idiopathic nonmenstrual bleeding,N/A,Gastroenterology / Hepatology,"painful urination, sharp abdominal pain, vaginal discharge, long menstrual periods, intermenstrual bleeding",low,Usually managed with routine outpatient care,N/A,"0.918, 0.877, 0.744, 0.673, 0.622",N/A
362,idiopathic painful menstruation,N/A,Infectious Diseases,"vaginal discharge, pelvic pain, cramps and spasms, heavy menstrual flow, vaginal itching",low,Usually managed with routine outpatient care,N/A,"0.662, 0.532, 0.526, 0.517, 0.513",N/A
363,ileus,N/A,Psychiatry,"lower abdominal pain, headache, diarrhea, vomiting, sharp abdominal pain",mild,Needs timely evaluation,N/A,"0.775, 0.683, 0.534, 0.514, 0.501",N/A
364,impetigo,"Impetigo (pronounced “im-peh-TIE-go”) is an itchy, sometimes painful, skin infection. When your child gets a cut, bite or scratch that opens their skin, bacteria can enter and cause a bacterial infection . But impetigo can infect skin even if it’s not broken or punctured.",Gastroenterology / Hepatology,"mouth ulcer, skin swelling, skin lesion, sore in nose, abnormal appearing skin",mild,Needs timely evaluation,How is impetigo diagnosed? A healthcare provider will diagnose impetigo based on how your child’s sores look. They may take a skin culture to send to a laboratory. This will help your provider determine the right antibiotic to prescribe your child.,"0.679, 0.664, 0.510, 0.500, 0.499",https://my.clevelandclinic.org/health/diseases/15134-impetigo
365,impulse control disorder,N/A,Endocrinology,"excessive appetite, anxiety and nervousness, delusions or hallucinations, temper problems, depression",mild,"Varies, but usually not an immediate emergency",N/A,"0.731, 0.713, 0.713, 0.561, 0.522",N/A
366,indigestion,Indigestion can be pain or discomfort in your upper abdomen (dyspepsia) or burning pain behind the breastbone (heartburn).,Infectious Diseases,"stomach bloating, heartburn, sharp abdominal pain, diarrhea, vomiting",low,Usually managed with routine outpatient care,N/A,"0.742, 0.693, 0.519, 0.519, 0.503",https://www.nhs.uk/search/click?url=%2Fconditions%2Findigestion%2F&pos=1&hash=vIarXtBw2ZTdTSHPT%2FcrH5SrL1EoX3n7POBDKNI7Qww%3D&id=e00bc9f1-f95a-4710-b142-92e99c208f31&searchText=indigestion&documentId=512095b0-41e3-4468-b6e5-67e31e641e34&pageIndex=0
367,induced abortion,N/A,Infectious Diseases,"intermenstrual bleeding, groin pain, pain during pregnancy, sharp abdominal pain, spotting or bleeding during pregnancy",mild,Needs timely evaluation,N/A,"0.787, 0.773, 0.550, 0.550, 0.529",N/A
368,infection of open wound,N/A,Gastroenterology / Hepatology,"hand or finger swelling, insomnia, leg pain, abnormal appearing skin",mild,Needs cleaning and assessment for repair,N/A,"1.000, 0.885, 0.800, 0.457",N/A
369,infectious gastroenteritis,N/A,Dermatology,"nausea, decreased appetite, diarrhea, headache, chills",mild,Usually needs treatment but not emergency,N/A,"0.523, 0.520, 0.513, 0.509, 0.504",N/A
370,ingrown toe nail,N/A,Gastroenterology / Hepatology,"neck swelling, irregular appearing nails, swollen eye, foot or toe swelling, skin on leg or foot looks infected",low,Usually managed with routine outpatient care,N/A,"0.756, 0.523, 0.511, 0.511, 0.504",N/A
371,inguinal hernia,"A hernia occurs when tissue from one body cavity bulges through an opening in your muscle wall into another. Inguinal hernias are the most common type of hernia. They happen when abdominal tissue, such as belly fat or a loop of intestines, bulges through an opening in your lower abdominal wall . This is the wall that separates your abdomen from your groin. Inguinal hernias occur in the inguinal canal, which is a passageway that runs down either side of your pelvis into your sex organs. They're also called groin hernias. (“Inguinal” means “in the groin.”) They're the most common type of groin hernia, though not the only type. (Less common are femoral hernias, which happen in the smaller femoral canal that runs underneath the inguinal canal.)",Gastroenterology / Hepatology,"symptoms of the scrotum and testes, lower abdominal pain, groin pain, groin mass, ache all over",mild,Needs timely evaluation,"How is an inguinal hernia diagnosed? A physical examination is usually enough to diagnose an inguinal hernia. Your healthcare provider will try to see and feel the hernia. They may ask you to cough or to bear down as though you were pooping to make the hernia emerge. They’ll also want to know if the hernia can be massaged back into place, or if it’s stuck (incarcerated). If they can’t see the hernia from the outside, they may order an imaging test to see it from the inside. An ultrasound will usually do the trick, but in rare cases, they may need to use something more specific, like a CT scan .","0.649, 0.579, 0.562, 0.552, 0.547",https://my.clevelandclinic.org/health/diseases/16266-inguinal-hernia
372,injury of the ankle,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the ankle.",Emergency / Trauma Medicine,"wrist swelling, ankle pain, foot or toe weakness, joint pain, foot or toe swelling",mild,Needs evaluation for structural damage,N/A,"0.796, 0.554, 0.543, 0.543, 0.538",https://www.nhs.uk/conditions/sprains-and-strains/
373,injury to internal organ,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to an internal organ.",Emergency / Trauma Medicine,"frequent urination, sharp chest pain, retention of urine, back pain, side pain",high,Major trauma may harm vital structures,N/A,"0.847, 0.793, 0.755, 0.679, 0.618",https://www.nhs.uk/conditions/sprains-and-strains/
374,injury to the abdomen,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the abdomen",Emergency / Trauma Medicine,"leg pain, back pain, blood in urine, sharp abdominal pain, sharp chest pain",high,Major trauma may harm vital structures,N/A,"0.953, 0.890, 0.734, 0.593, 0.562",https://www.nhs.uk/conditions/sprains-and-strains/
375,injury to the arm,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the arm.",Emergency / Trauma Medicine,"wrist swelling, loss of sensation, elbow swelling, arm stiffness or tightness, elbow pain",mild,Needs evaluation for structural damage,N/A,"0.523, 0.507, 0.505, 0.504, 0.502",https://www.nhs.uk/conditions/sprains-and-strains/
376,injury to the face,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the face.",Emergency / Trauma Medicine,"diminished hearing, neck stiffness or tightness, neck pain, nosebleed, mouth pain",mild,Needs evaluation for structural damage,N/A,"0.782, 0.692, 0.551, 0.536, 0.514",https://www.nhs.uk/conditions/sprains-and-strains/
377,injury to the finger,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the finger.",Emergency / Trauma Medicine,"swelling of scrotum, hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness ",mild,Needs evaluation for structural damage,N/A,"0.857, 0.571, 0.571, 0.285",https://www.nhs.uk/conditions/sprains-and-strains/
378,injury to the hand,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the hand.",Emergency / Trauma Medicine,"wrist swelling, hand or finger swelling, hand or finger pain, joint pain, wrist pain",mild,Needs evaluation for structural damage,N/A,"0.888, 0.587, 0.579, 0.571, 0.547",https://www.nhs.uk/conditions/sprains-and-strains/
379,injury to the hip,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the hip.",Emergency / Trauma Medicine,"hand or finger swelling, neck pain, leg pain, hip pain",mild,Needs evaluation for structural damage,N/A,"0.937, 0.750, 0.500, 0.437",https://www.nhs.uk/conditions/sprains-and-strains/
380,injury to the knee,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the knee.",Emergency / Trauma Medicine,"foot or toe swelling, leg pain, knee weakness, knee pain, problems with movement",mild,Needs evaluation for structural damage,N/A,"0.716, 0.698, 0.679, 0.566, 0.358",https://www.nhs.uk/conditions/sprains-and-strains/
381,injury to the leg,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the leg.",Emergency / Trauma Medicine,"leg swelling, problems with movement, knee swelling, knee pain, ankle swelling",mild,Needs evaluation for structural damage,N/A,"0.523, 0.516, 0.515, 0.511, 0.509",https://www.nhs.uk/conditions/sprains-and-strains/
382,injury to the shoulder,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the shoulder.",Emergency / Trauma Medicine,"shoulder stiffness or tightness, bones are painful, muscle cramps/contractures or spasms, arm stiffness or tightness, elbow pain",mild,Needs evaluation for structural damage,N/A,"0.682, 0.678, 0.672, 0.525, 0.513",https://www.nhs.uk/conditions/sprains-and-strains/
383,injury to the spinal cord,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the spinal cord.",Emergency / Trauma Medicine,"retention of urine, headache, back pain, neck pain",high,Major trauma may harm vital structures,N/A,"0.965, 0.793, 0.689, 0.586",https://www.nhs.uk/conditions/sprains-and-strains/
384,injury to the trunk,"An injury is physical harm or damage to the body caused by external forces like accidents, falls, hits, or weapons. In this case to the trunk.",Emergency / Trauma Medicine,"symptoms of the scrotum and testes, neck pain, back pain, shoulder pain, rib pain",mild,Needs evaluation for structural damage,N/A,"0.683, 0.538, 0.516, 0.516, 0.509",https://www.nhs.uk/conditions/sprains-and-strains/
385,insect bite,"Insect bites or stings typically cause a small, red, swollen, and itchy lump on the skin that improves within a few hours or day. But sometimes they can become infected or cause a serious allergic reaction.",Dermatology,"leg swelling, hand or finger swelling, skin rash, peripheral edema, abnormal appearing skin",mild,Needs timely evaluation,N/A,"0.687, 0.677, 0.536, 0.524, 0.515",https://www.nhs.uk/search/click?url=%2Fconditions%2Finsect-bites-and-stings%2F&pos=1&hash=mllLfTGU2UftGZfbmxcvFG4I9UyCBmV8ADJHEg0Vivc%3D&id=2b7546cd-f377-4d36-a55e-31ef567ec119&searchText=insect%20bite&documentId=f071fbbc-d52b-468a-a9a2-163aba8f76c7&pageIndex=0
386,insulin overdose,N/A,Endocrinology,"depressive or psychotic symptoms, emotional symptoms",high,Possible toxin/overdose emergency,N/A,"1.0, 1.0",N/A
387,interstitial lung disease,“Interstitial lung disease” (ILD) is a term for a group of conditions that cause inflammation and scarring in your lungs. ILD is the result of damage to the tissues between the small air sacs in your lungs (alveoli) and the blood vessels around them. This tissue is sometimes referred to as the intersitium or parenchyma.,Respiratory / Pulmonology,"sore throat, shortness of breath, wheezing, cough, nasal congestion",mild,Can affect breathing and needs evaluation,Tests your provider may recommend include: Pulmonary function tests : These are breathing or exercise tests that check how well your lungs are working. Imaging tests : X-rays or high-resolution CT scans can provide pictures of your lungs. Blood tests : Your provider will test a sample of your blood for signs of known causes of ILD. Arterial blood gas tests can also check how well your lungs are working. Bronchoscopy : Your provider might use a thin tube (bronchoscope) to get a closer look at your airways. Biopsy : Your provider might take a small sample of tissue from your lungs. They’ll send the sample to a lab to help identify the type of ILD. Advertisement,"0.659, 0.643, 0.639, 0.534, 0.516",https://my.clevelandclinic.org/health/diseases/17809-interstitial-lung-disease
388,intertrigo (skin condition),N/A,Dermatology,"acne or pimples, skin lesion, skin rash, skin swelling, abnormal appearing skin",low,Usually managed with routine outpatient care,N/A,"0.847, 0.790, 0.590, 0.561, 0.552",N/A
389,intestinal cancer,N/A,Oncology,"throat feels tight, foot or toe swelling, neck mass, sharp abdominal pain, diarrhea",high,Potential malignancy needing prompt specialist care,N/A,"0.938, 0.755, 0.734, 0.714, 0.510",N/A
390,intestinal disease,N/A,Gastroenterology / Hepatology,"fainting, burning abdominal pain, regurgitation, nausea, vomiting",mild,Needs timely evaluation,N/A,"0.704, 0.684, 0.673, 0.663, 0.516",N/A
391,intestinal malabsorption,N/A,Gastroenterology / Hepatology,"cough, flatulence, vomiting, diarrhea, nasal congestion",mild,Needs timely evaluation,N/A,"0.844, 0.838, 0.577, 0.565, 0.534",N/A
392,intestinal obstruction,N/A,Gastroenterology / Hepatology,"vaginal itching, nausea, stomach bloating, sharp abdominal pain, retention of urine ",high,Needs urgent evaluation/treatment,N/A,"0.770, 0.658, 0.530, 0.521, 0.512",N/A
393,intracerebral hemorrhage,N/A,Neurology,"diminished vision, focal weakness, nausea, headache, seizures",high,Time-sensitive vascular emergency,N/A,"0.776, 0.522, 0.504, 0.499, 0.497",N/A
394,intracranial abscess,N/A,Neurology,"headache, depressive or psychotic symptoms, seizures",high,Serious infection can spread quickly,N/A,"1.000, 0.916, 0.666",N/A
395,intracranial hemorrhage,N/A,Neurology,"depressive or psychotic symptoms, abnormal involuntary movements, vomiting, headache, difficulty speaking",high,Time-sensitive vascular emergency,N/A,"0.785, 0.711, 0.708, 0.571, 0.527",N/A
396,intussusception,"Intussusception (pronounced “in-tuh-sus-SEP-shun”) is a medical emergency where one segment of your intestine folds partially inside the other, causing a bowel obstruction (blockage). Sometimes, the folding is described as “telescoping” because it resembles how the pieces fit into each other on a telescope. Usually, intussusception affects the small intestine (bowel).",Gastroenterology / Hepatology,"blood in stool, emotional symptoms, sharp abdominal pain",high,Time-sensitive risk to organ/vision/pregnancy,"How is intussusception diagnosed? Diagnosis typically happens alongside emergency medical treatment. Imaging tests that confirm a diagnosis include an ultrasound (in children) and a CT scan (in adults). An ultrasound can identify an intussusception with 100% accuracy. It’s the first test providers use to check for an intussusception in children. Advertisement Your child’s provider may also order an air or contrast enema. During this test, your child’s provider inserts air or a liquid solution containing a safe substance called barium into your child’s rectum. The air or liquid creates pressure that helps lengthen the telescoped intestine so that one portion no longer folds inside the other. An X-ray records a video of the process. In addition to confirming the diagnosis, this procedure usually fixes intussusception in children.","1.00, 0.75, 0.75",https://my.clevelandclinic.org/health/diseases/10793-intussusception
397,iridocyclitis,Iridocyclitis (EAR-uh-do-sai-KLY-tus) is painful inflammation in your eye. It’s a type of anterior uveitis.,Ophthalmology,"headache, foreign body sensation in eye, lacrimation, pain in eye, eye redness",mild,Usually needs treatment but not emergency,"How doctors diagnose iridocyclitis An eye care specialist will diagnose iridocyclitis with an eye exam and some tests. Your provider will check your vision with a visual acuity test . They’ll also look inside your eyes for signs of inflammation and damage. They might use a few other tests, including: Optical coherence tomography (OCT) Tonometry Blood tests Eye ultrasound Biopsies","0.693, 0.677, 0.667, 0.554, 0.532",https://my.clevelandclinic.org/health/diseases/iridocyclitis
398,iron deficiency anemia,N/A,Hematology,"intermenstrual bleeding, heartburn, weakness, heavy menstrual flow, rectal bleeding",mild,Needs timely medical management,N/A,"0.661, 0.661, 0.524, 0.524, 0.521",N/A
399,irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a group of symptoms that affect your digestive system . It’s a common but uncomfortable gastrointestinal disease , or condition that affects your intestines.",Gastroenterology / Hepatology,"flatulence, insomnia, nausea, lower abdominal pain, sharp abdominal pain",low,Usually managed with routine outpatient care,"How is IBS diagnosed? The first step in diagnosing IBS is a detailed medical history. Your provider will ask about your symptoms . They may ask: Do you have pain related to bowel movements? Do you notice a change in how often you have a bowel movement? Has there been a change in how your poop looks? How often do you have symptoms? When did your symptoms start? What medicines do you take? Have you been sick or had a stressful event in your life recently? Depending on your symptoms, you may need other tests to confirm a diagnosis. There isn’t a single test to diagnose IBS. Instead, your provider will determine if you have IBS by: Asking about your symptoms. Making sure you’re up to date on your colon cancer screening. Checking that you don’t have symptoms suggesting other disorders. Advertisement Lab tests Most lab tests exclude other conditions that may be causing your symptoms, like an infection, food intolerance or a different digestive condition, like inflammatory bowel disease (IBD). Not everyone needs the same tests. Blood test : To check for a digestive disease condition or another condition that may cause your symptoms. Stool test : To check for an infection or signs of inflammation in your bowel caused by a digestive condition. Hydrogen breath test : To see if you have an overgrowth of bacteria in your gut ( SIBO ) or a food intolerance. Imaging tests You may need imaging procedures to rule out conditions involving inflammation or abnormal growths in your GI tract. Colonoscopy : Can help your provider determine if you have certain bowel disorders that may be causing your symptoms, including polyps , IBD and cancerous growths. For this procedure, a provider inserts a scope that allows them to view your entire colon. Flexible sigmoidoscopy : Similar to a colonoscopy, except a provider inserts a scope that allows them to view the lining of your rectum and the lower part of your colon only. Upper endoscopy : Can help your provider diagnose celiac disease or other GI conditions. This procedure uses a scope that allows your provider to see inside your esophagus (food tube), stomach and the first part of your small intestine (duodenum). Advertisement","0.682, 0.670, 0.662, 0.511, 0.503",https://my.clevelandclinic.org/health/diseases/4342-irritable-bowel-syndrome-ibs
400,ischemia of the bowel,N/A,Gastroenterology / Hepatology,"nausea, blood in stool, retention of urine, burning abdominal pain, vomiting",high,Needs urgent evaluation/treatment,N/A,"0.699, 0.692, 0.671, 0.671, 0.639",N/A
401,ischemic heart disease,N/A,ENT / Otolaryngology,"muscle pain, sharp chest pain, peripheral edema, chest tightness, fatigue",mild,Needs medical follow-up and monitoring,N/A,"0.637, 0.538, 0.533, 0.524, 0.520",N/A
402,itching of unknown cause,N/A,Dermatology,"problems during pregnancy, fluid retention, vaginal itching, allergic reaction, itchy scalp ",low,Usually managed with routine outpatient care,N/A,"0.685, 0.668, 0.660, 0.541, 0.521",N/A
403,jaw disorder,N/A,Dentistry / Oral Health,"difficulty in swallowing, neck mass, jaw swelling, headache, peripheral edema",low,Usually managed with routine outpatient care,N/A,"0.755, 0.678, 0.663, 0.535, 0.511",N/A
404,joint effusion,N/A,Musculoskeletal,"wrist pain, knee stiffness or tightness, ankle swelling, knee swelling, ankle pain",mild,Needs timely evaluation,N/A,"0.759, 0.699, 0.541, 0.536, 0.534",N/A
405,juvenile rheumatoid arthritis,N/A,Rheumatology,"wrist swelling, hand or finger pain, joint pain, back pain, knee pain",mild,Usually needs treatment but not emergency,N/A,"0.939, 0.909, 0.666, 0.606, 0.606",N/A
406,kaposi sarcoma,"Kaposi sarcoma (KS) is a type of soft tissue sarcoma . It causes lesions that can form on your skin or mucus membranes that line the inside of your mouth , nose and anus . These tumors may also develop in the lining of internal organs like your liver , belly and lungs .",Oncology,"depression, elbow weakness",high,Potential malignancy needing prompt specialist care,"How doctors diagnose Kaposi sarcoma A healthcare provider will start with a physical examination . They’ll check your skin for lesions and ask about your symptoms and health history. Because Kaposi sarcoma is so rare, it can take a while to get an accurate diagnosis. You may need to see several different types of healthcare providers and specialists. Ask your care team what to expect in your situation. Tests that are used To get an accurate diagnosis, your healthcare provider will need to run tests, which may include: Biopsy . Your provider takes a small tissue sample and sends it to a pathologist for testing. Bronchoscopy . This test helps your provider look for KS in your windpipe and the airways that lead to your lungs. Chest X-ray . They’ll take images of your lungs to look for KS lesions. You may also need a CT scan . Endoscopy . This test helps your healthcare provider look inside your stomach or intestines for KS lesions. Depending on your situation, you might need an upper endoscopy , a colonoscopy or both. Immunohistochemistry . This lab test looks for a specific protein called LANA-1. It’s associated with HHV-8. It helps your provider tell the difference between KS and similar lesions.","1.0, 1.0",https://my.clevelandclinic.org/health/diseases/21830-kaposi-sarcoma
407,kidney cancer,"Kidney cancer, also known as renal cancer, is a cancerous tumor in your kidneys . Your kidneys filter your blood, balance fluids in your body and get rid of waste.",Oncology,"groin mass, involuntary urination, blood in urine, kidney mass, retention of urine",high,Potential malignancy needing prompt specialist care,"How doctors diagnose this condition A healthcare provider will do a physical exam. They’ll ask you to describe your symptoms and how long you’ve had symptoms. They may do tests, including: Blood tests : A CBC may detect changes in your red or white blood cell levels that could be signs of kidney cancer. A BMP checks kidney function and may show changes in certain chemicals. Imaging tests : Tests like CT scan, MRI and ultrasound can detect tumors in your kidneys. Biopsy : Your provider may use a biopsy needle to get a small sample of kidney tissue. A medical pathologist will then cut the sample into tiny sections. They’ll look at the sections under a microscope for signs of cancer. If tests show you have kidney cancer, your provider will refer you to an oncologist. Your oncologist will use test results and other information to plan your treatment. They may call this process cancer staging. Kidney cancer stages Kidney cancer may spread to nearby lymph nodes and tissue. It may also spread to your adrenal glands on top of your kidneys. Or it could reach one of the major veins that carry blood from your kidneys to other areas of your body. The cancerous tumor may even spread to those other areas of your body. There are four kidney cancer stages. Stage Tumor location Stage I The tumor is in your kidney only. It measures about 3 inches (7 centimeters). Stage II The tumor is larger than 3 inches but hasn’t spread outside of your kidney. Stage III The tumor is in one of the major veins, your adrenal glands or the tissue that surrounds your kidney and adrenal glands. Stage IV The tumor is in your adrenal gland or the tissue that surrounds your kidney and adrenal gland. It may have spread to your bones, liver or lungs. Stage Stage I Tumor location The tumor is in your kidney only. It measures about 3 inches (7 centimeters). Stage II Tumor location The tumor is larger than 3 inches but hasn’t spread outside of your kidney. Stage III Tumor location The tumor is in one of the major veins, your adrenal glands or the tissue that surrounds your kidney and adrenal glands. Stage IV Tumor location The tumor is in your adrenal gland or the tissue that surrounds your kidney and adrenal gland. It may have spread to your bones, liver or lungs.","0.787, 0.787, 0.612, 0.537, 0.512",https://my.clevelandclinic.org/health/diseases/9409-kidney-cancer-overview
408,kidney disease due to longstanding hypertension,N/A,Cardiovascular / Cardiology,"feeling cold, shortness of breath, symptoms of the kidneys, difficulty speaking",mild,Needs timely medical management,N/A,"0.941, 0.647, 0.647, 0.411",N/A
409,kidney failure,"Kidney failure means both of your kidneys no longer function well on their own to keep you alive. It’s sometimes temporary and develops quickly (acute kidney failure). Other times, it’s a result of long-term chronic kidney disease (CKD). CKD slowly gets worse and progresses to chronic kidney failure. Another name for chronic kidney failure is end-stage kidney disease (ESKD). You may hear healthcare providers call it renal failure. “Renal” is another word for kidney.",Nephrology,"swollen abdomen, sharp chest pain, nausea, arm swelling, vomiting",high,Can rapidly destabilize organ function,"How is kidney failure diagnosed? Healthcare providers may use many different kidney function tests to check on your kidneys and diagnose kidney failure. If your provider thinks you’re at risk of kidney failure, they may recommend: Blood tests to see how well your kidneys remove waste from your blood Pee tests to see if you have protein or blood in your pee Imaging tests, like a kidney ultrasound, to look at your kidneys and surrounding areas Advertisement","0.765, 0.687, 0.535, 0.514, 0.507",https://my.clevelandclinic.org/health/diseases/17689-kidney-failure
410,kidney stone,Kidney stones can develop in 1 or both kidneys and most often affect people aged 30 to 60.,Nephrology,"vomiting, back pain, side pain, frequent urination, painful urination",mild,Needs timely medical management,N/A,"0.705, 0.526, 0.524, 0.513, 0.509",https://www.nhs.uk/search/click?url=%2Fconditions%2Fkidney-stones%2F&pos=1&hash=UTkvnd976jSzktqR0jmUKnqhsJ%2BhwGREqST0lyaCJ3s%3D&id=04cfab35-0571-476b-83d6-1eb76e539bbe&searchText=kidney%20stone&documentId=ae1245b1-7023-4669-b1ec-66b761db6ac1&pageIndex=0
411,knee ligament or meniscus tear,N/A,ENT / Otolaryngology,"knee lump or mass, knee stiffness or tightness, leg weakness, knee weakness, knee swelling",mild,Needs timely evaluation,N/A,"0.867, 0.566, 0.566, 0.556, 0.528",N/A
412,labyrinthitis,Labyrinthitis ( la-br-uhn-THAI-tuhs ) is a type of inner ear infection . It happens when your labyrinth gets inflamed. Your labyrinth is the part of your inner ear responsible for your hearing and sense of balance.,ENT / Otolaryngology,"ear pain, diminished hearing, vomiting, loss of sensation, sweating",mild,Usually needs treatment but not emergency,"How is labyrinthitis diagnosed? Your healthcare provider will perform a physical examination and ask you about your symptoms and medical history. They may also order tests to assess your hearing, balance and other nervous system functions. What tests will be done to diagnose labyrinthitis? There are other conditions that have the same symptoms as labyrinthitis (like vestibular neuritis or BPPV ), so your healthcare provider will need to rule them out. They may do this by running certain tests, including: Electrocardiogram (EKG) . Magnetic resonance imaging (MRI) . Vestibular testing .","0.698, 0.668, 0.535, 0.527, 0.516",https://my.clevelandclinic.org/health/diseases/22032-labyrinthitis
